City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
611,Rosarito,MX,75.63,clear sky,32.3333,-117.0333,Hotel Festival Plaza Rosarito
612,Yanam,IN,76.68,broken clouds,16.7333,82.2167,The Regency Hotel
614,Bahia Blanca,AR,62.74,scattered clouds,-38.7196,-62.2724,Hotel Argos
615,Bubaque,GW,75.2,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
616,Abha,SA,64.65,few clouds,18.2164,42.5053,Abha Hotel
619,Fayaoue,NC,78.69,overcast clouds,-20.65,166.5333,Chez Dydyce Guesthouse
620,Uberaba,BR,69.3,broken clouds,-19.7483,-47.9319,Tamareiras Park Hotel
621,Kapit,MY,73.74,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
624,Port Moresby,PG,85.42,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
626,Corozal,CO,80.55,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
627,Morondava,MG,81.12,clear sky,-20.2833,44.2833,La Case Bambou
630,Acajutla,SV,85.75,overcast clouds,13.5928,-89.8275,Laureles
633,Cairns,AU,81.07,scattered clouds,-16.9167,145.7667,Mantra Trilogy Cairns
634,Jacareacanga,BR,73.54,broken clouds,-6.2222,-57.7528,Casa do Ian😎
635,Sam Chuk,TH,77.65,broken clouds,14.7576,100.0899,Samchuk Resort
637,Acari,PE,69.12,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
640,Macae,BR,67.75,clear sky,-22.3708,-41.7869,Golden Tulip Macaé
646,Seybaplaya,MX,83.66,clear sky,19.65,-90.6667,sala de fiesta san Rafael
648,Nelson Bay,AU,69.1,scattered clouds,-32.7167,152.15,Mantra Nelson Bay
649,Niquero,CU,79.0,few clouds,20.0431,-77.5828,Islazul Niquero
653,Dawei,MM,76.35,few clouds,14.0833,98.2,Hotel Dawei
656,Teknaf,BD,78.28,broken clouds,20.8624,92.3058,Forestry Guesthouse
657,Huarmey,PE,68.7,clear sky,-10.0681,-78.1522,Hotel Miramar
659,Maihar,IN,84.09,clear sky,24.2667,80.75,Mrig Van Resort
660,Tel Aviv-Yafo,IL,89.78,clear sky,32.0805,34.7805,Ben Yehuda apartments
662,Eydhafushi,MV,83.46,overcast clouds,5.1033,73.0708,Soneva Fushi
667,Soc Trang,VN,80.22,broken clouds,9.6033,105.98,Phu Quy Hotel
669,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
671,Iranshahr,IR,78.12,few clouds,27.2025,60.6848,نیک سرشت
672,Phan Thiet,VN,77.49,broken clouds,10.9333,108.1,Hotel Saigon-PT
673,Leopold,AU,60.64,light intensity shower rain,-38.1833,144.4667,Avila Vista
676,Fuerte Olimpo,PY,72.1,scattered clouds,-21.0415,-57.8738,Hospedaje DAMI
