City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
194,Vestmannaeyjar,IS,2022-04-09 02:08:56,63.4427,-20.2734,36.37,73,100,12.35
195,Vilhena,BR,2022-04-09 02:08:56,-12.7406,-60.1458,69.98,94,43,2.15
196,Jamestown,US,2022-04-09 02:05:49,42.097,-79.2353,40.59,78,100,6.91
197,Omboue,GA,2022-04-09 02:08:56,-1.5746,9.2618,78.37,88,100,4.81
198,Hithadhoo,MV,2022-04-09 02:08:57,-0.6,73.0833,83.3,68,96,8.66
199,Bealanana,MG,2022-04-09 02:08:57,-14.55,48.7333,65.08,97,99,2.95
200,Georgetown,MY,2022-04-09 02:06:30,5.4112,100.3354,84.13,79,20,0.0
201,San Vicente De Canete,PE,2022-04-09 02:08:57,-13.0751,-76.3835,68.23,85,75,3.87
202,Chapais,CA,2022-04-09 02:08:58,49.7834,-74.8492,33.58,99,100,6.93
203,Biltine,TD,2022-04-09 02:08:58,14.5333,20.9167,82.99,9,10,9.48
204,Itainopolis,BR,2022-04-09 02:08:58,-7.4469,-41.4783,74.14,81,99,2.46
205,Olinda,BR,2022-04-09 02:08:59,-8.0089,-34.8553,78.53,94,40,2.3
206,Ahipara,NZ,2022-04-09 02:08:59,-35.1667,173.1667,71.11,51,2,5.86
207,Peleduy,RU,2022-04-09 02:08:59,59.6289,112.7406,29.3,84,99,4.5
208,Itoman,JP,2022-04-09 02:09:00,26.1247,127.6694,75.58,60,20,12.66
209,Marathon,US,2022-04-09 02:07:06,44.9,-89.7668,34.2,73,100,12.66
210,Rajgarh,IN,2022-04-09 02:09:00,28.6333,75.3833,87.26,8,2,4.59
211,East London,ZA,2022-04-09 02:09:00,-33.0153,27.9116,62.42,80,98,11.39
212,Ponta Do Sol,PT,2022-04-09 02:09:01,32.6667,-17.1,59.72,75,31,1.59
213,Vao,NC,2022-04-09 02:02:25,-22.6667,167.4833,77.34,87,22,22.95
214,Envira,BR,2022-04-09 02:09:01,-7.3,-70.2167,73.87,96,97,2.26
215,Coromandel,BR,2022-04-09 02:09:01,-18.4733,-47.2003,69.37,82,96,2.53
216,Hoceni,RO,2022-04-09 02:09:02,46.5392,28.0067,51.98,69,45,6.42
217,Chuy,UY,2022-04-09 02:09:02,-33.6971,-53.4616,64.22,93,0,5.28
218,Makinsk,KZ,2022-04-09 02:09:02,52.6292,70.4169,34.47,70,3,3.02
219,Batagay-Alyta,RU,2022-04-09 02:09:03,67.8006,130.4114,15.4,80,100,2.48
220,Beziers,FR,2022-04-09 02:09:03,43.3476,3.219,53.08,58,0,18.41
221,Inongo,CD,2022-04-09 02:09:03,-1.95,18.2667,72.64,89,81,4.79
222,Raudeberg,NO,2022-04-09 02:09:04,61.9875,5.1352,38.07,86,100,23.64
223,Hulan Ergi,CN,2022-04-09 02:09:04,47.2042,123.6333,57.6,21,52,7.27
224,Chokurdakh,RU,2022-04-09 02:09:05,70.6333,147.9167,-10.37,90,10,9.6
225,Tabuny,RU,2022-04-09 02:09:05,52.7773,78.7896,36.39,68,0,9.33
226,Touros,BR,2022-04-09 02:09:05,-5.1989,-35.4608,79.72,82,98,11.59
227,Coquimbo,CL,2022-04-09 02:01:08,-29.9533,-71.3436,60.08,86,44,1.63
228,Am Timan,TD,2022-04-09 02:02:23,11.0297,20.2827,88.36,24,37,4.65
229,Zaltan,LY,2022-04-09 02:09:06,32.947,11.8665,61.03,66,2,9.15
230,Heyang,CN,2022-04-09 02:10:06,26.1011,107.473,61.18,71,99,2.53
231,Wasilla,US,2022-04-09 02:08:29,61.5814,-149.4394,35.65,58,100,5.99
232,Kurilsk,RU,2022-04-09 02:10:07,45.2333,147.8833,39.72,66,97,11.27
233,Hambantota,LK,2022-04-09 02:09:25,6.1241,81.1185,71.94,100,20,1.14
234,Sinnamary,GF,2022-04-09 02:10:07,5.3833,-52.95,77.32,88,100,10.0
235,Ishigaki,JP,2022-04-09 02:10:07,24.3448,124.1572,71.28,74,100,14.45
236,Soyo,AO,2022-04-09 02:10:08,-6.1349,12.3689,77.81,91,64,5.5
237,Zeya,RU,2022-04-09 02:10:08,53.75,127.2667,31.55,91,100,5.28
238,Chinhoyi,ZW,2022-04-09 02:10:08,-17.3667,30.2,63.5,78,100,6.55
239,Myitkyina,MM,2022-04-09 02:10:09,25.3833,97.4,77.58,55,82,5.88
240,Erdenet,MN,2022-04-09 02:10:09,49.0333,104.0833,53.74,37,94,22.66
241,Tairua,NZ,2022-04-09 02:10:09,-37.0167,175.85,67.32,60,1,11.65
242,Padang,ID,2022-04-09 02:00:28,-0.9492,100.3543,77.05,67,98,1.39
243,Bakchar,RU,2022-04-09 02:10:10,57.0186,82.0711,25.16,87,100,12.08
244,Coihaique,CL,2022-04-09 02:10:10,-45.5752,-72.0662,46.35,93,0,6.91
245,Hofn,IS,2022-04-09 02:10:11,64.2539,-15.2082,29.52,57,99,11.48
246,Sao Joao Da Barra,BR,2022-04-09 02:10:11,-21.6403,-41.0511,76.24,82,4,9.53
247,Udachnyy,RU,2022-04-09 02:10:11,66.4167,112.4,21.45,48,94,4.45
248,Nikolskoye,RU,2022-04-09 02:10:12,59.7035,30.7861,35.49,94,83,7.43
249,Mahebourg,MU,2022-04-09 02:10:12,-20.4081,57.7,74.25,80,69,14.36
250,Nome,US,2022-04-09 02:10:12,64.5011,-165.4064,17.17,86,100,10.36
251,Nishihara,JP,2022-04-09 02:10:13,26.1842,127.7558,74.86,63,20,12.66
252,Yinchuan,CN,2022-04-09 02:10:13,38.4681,106.2731,71.53,9,0,9.08
253,Talnakh,RU,2022-04-09 02:10:13,69.4865,88.3972,-0.8,95,94,3.24
254,Bereda,ES,2022-04-09 02:10:14,43.2686,-7.5406,44.58,100,78,2.1
255,Diapaga,BF,2022-04-09 02:10:14,12.0708,1.7889,89.49,32,0,7.74
256,Maceio,BR,2022-04-09 02:10:14,-9.6658,-35.7353,74.64,94,40,3.44
257,Constitucion,CL,2022-04-09 02:10:15,-35.3333,-72.4167,52.99,93,20,8.68
258,Ponta Delgada,PT,2022-04-09 02:10:15,37.7333,-25.6667,63.32,88,75,31.07
259,Airai,TL,2022-04-09 02:09:34,-8.9266,125.4092,74.79,44,55,2.98
260,Damaturu,NG,2022-04-09 02:10:16,11.747,11.9608,82.47,42,81,6.89
261,Delemont,CH,2022-04-09 02:10:16,47.3649,7.3445,45.32,86,100,6.6
262,Beringovskiy,RU,2022-04-09 02:10:16,63.05,179.3167,10.62,81,100,3.18
263,Iqaluit,CA,2022-04-09 02:10:17,63.7506,-68.5145,-1.12,95,12,4.38
264,Kontagora,NG,2022-04-09 02:10:17,10.3999,5.4695,83.91,54,58,6.42
265,Bambanglipuro,ID,2022-04-09 02:10:17,-7.95,110.2833,81.36,74,69,4.43
266,Dunedin,NZ,2022-04-09 02:10:18,-45.8742,170.5036,65.8,44,20,8.01
267,Sioux Lookout,CA,2022-04-09 02:10:18,50.1001,-91.917,23.4,91,4,5.08
268,Robertsport,LR,2022-04-09 02:10:18,6.7533,-11.3686,80.69,88,55,6.91
